,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1137,1,4,1,2,2018.0,5.0,1,4,7.5,18.1,1199.0,1,8.837708781126704
1138,1,4,1,1,2010.0,5.0,1,8,1.5,15.64,1193.0,1,10.63383417408518
1139,2,3,2,1,2012.0,5.0,2,14,1.95,25.44,936.0,1,11.363810418366572
1140,1,4,3,1,2010.0,5.0,3,4,3.64,17.0,1497.0,1,11.52846411245087
1141,2,4,1,1,2018.0,5.0,1,21,7.29,21.13,1498.0,1,11.200117019200826
1142,2,4,1,2,2019.0,5.0,1,4,8.4,21.0,1498.0,1,9.728360056322414
1143,1,4,2,2,2016.0,5.0,2,21,6.8,14.3,1598.0,1,11.510071395987321
1144,1,5,1,1,2018.0,7.0,1,16,4.14,19.02,1198.0,1,10.700679383382674
1145,1,3,1,1,2014.0,5.0,1,15,3.8,15.26,1598.0,1,10.936672035881783
1146,1,5,1,1,2018.0,7.0,1,16,4.28,19.02,1198.0,1,9.741145078057485
1147,1,3,1,2,2014.0,5.0,1,3,4.65,18.9,1197.0,1,10.706206369525365
1148,1,2,1,2,2018.0,5.0,1,3,10.34,13.0,1591.0,1,10.37633089597424
1149,1,5,2,2,2021.0,7.0,2,13,7.72,18.2,999.0,1,10.031880767304527
1150,2,2,2,2,2016.0,5.0,2,5,35.0,17.9,2143.0,1,11.49272275765271
1151,1,4,1,1,2018.0,5.0,1,15,4.5,17.0,1198.0,1,11.466829169077254
1152,1,4,2,1,2010.0,5.0,2,3,2.1,17.01,1591.0,1,11.716135660443655
1153,1,4,1,1,2013.0,5.0,1,1,4.1,22.41,1197.0,1,10.920889785778694
1154,2,3,1,1,2012.0,5.0,1,3,3.25,21.9,1396.0,1,11.13399030490767
1155,1,4,1,1,2016.0,5.0,1,4,4.5,18.6,1199.0,1,9.560645068907071
1156,1,3,1,1,2012.0,5.0,1,3,2.8,18.6,1197.0,1,11.125791313546788
1157,1,3,1,2,2017.0,5.0,1,1,4.1,20.51,998.0,1,10.77385999246528
1158,1,3,1,2,2016.0,5.0,1,3,5.2,18.9,1197.0,1,10.665600937560797
1159,2,3,1,1,2014.0,5.0,1,15,5.6,20.14,1498.0,1,10.668955394675699
1160,1,4,2,1,2019.0,5.0,2,10,7.02,17.1,1496.0,1,10.227453337065155
1161,1,5,1,1,2021.0,7.0,1,13,6.56,20.0,999.0,1,10.066413899028326
1162,1,4,1,1,2015.0,5.0,1,1,5.25,20.73,1373.0,1,10.819778284410283
1163,1,3,2,1,2017.0,5.0,2,1,3.57,24.39,998.0,1,9.844851577051172
1164,1,3,1,1,2017.0,5.0,1,1,5.12,20.4,1197.0,1,10.624687547538109
1165,1,3,1,1,2012.0,5.0,1,3,2.5,19.81,1086.0,1,10.915797303837524
1166,1,3,2,1,2018.0,5.0,2,3,7.0,18.6,1197.0,1,10.63009368683974
1167,2,2,1,1,2015.0,5.0,1,7,5.35,23.0,1498.0,1,11.302661119481185
1168,1,3,2,2,2017.0,5.0,2,4,6.41,19.0,1199.0,1,10.271493062483911
1169,1,2,2,1,2016.0,6.0,2,12,3.39,18.15,1198.0,1,10.743070011325619
1170,1,3,1,1,2009.0,5.0,1,3,1.7,18.15,1086.0,1,11.290194328601283
1171,2,2,2,2,2015.0,5.0,2,23,26.5,19.19,1995.0,1,9.615805480084347
1172,1,3,1,1,2012.0,5.0,1,1,3.1,20.52,1197.0,1,11.513485308228743
1173,1,3,1,1,2018.0,5.0,1,3,7.25,18.6,1197.0,1,11.408253601026258
1174,1,4,3,1,2005.0,5.0,3,14,1.15,17.4,1599.0,1,11.290156843361093
1175,2,2,1,2,2016.0,7.0,1,12,6.45,18.49,1493.0,1,11.408031507124045
1176,1,3,1,1,2017.0,5.0,1,1,4.4,20.52,1197.0,1,11.264848647110806
1177,2,2,2,2,2013.0,5.0,2,6,16.5,16.09,1995.0,1,10.915088464214607
1178,2,2,1,2,2014.0,7.0,1,3,9.75,13.01,2199.0,1,11.51341534495943
1179,2,2,1,1,2010.0,7.0,1,14,5.35,14.8,2499.0,1,11.835248065986999
1180,1,5,1,1,2018.0,7.0,1,16,4.33,19.02,1198.0,1,9.555772349968867
1181,1,2,1,1,2020.0,5.0,1,13,10.45,16.42,1330.0,1,10.47627337642489
1182,2,2,2,1,2013.0,7.0,2,29,5.5,12.83,2696.0,1,11.513285400185776
1183,1,3,3,1,2015.0,5.0,3,3,4.11,18.9,1197.0,1,10.918011460821951
1184,1,3,1,2,2019.0,5.0,1,3,5.18,20.3,1086.0,1,10.427357725022913
1185,2,5,1,1,2016.0,8.0,1,14,5.25,18.2,1248.0,1,11.22539004843061
